Search results for "Y"
CITY NAME	3-LETTER CITY CODE	AIRPORT NAME	3-LETTER AIRPORT CODE
Abbotsford	YXX	International	YXX
Aershan	YIE	Yiershi	YIE
Alert	YLT	Alert	YLT
Alert Bay	YAL	Alert Bay	YAL
Alma	YTF	Alma	YTF
Amos	YEY	Magny	YEY
Anahim Lake	YAA	Anahim Lake	YAA
Angling Lake	YAX	Wapekeka	YAX
Arctic Bay	YAB	Arctic Bay	YAB
Armstrong	YYW	Armstrong	YYW
Arviat	YEK	Arviat	YEK
Atikokan	YIB	Municipal	YIB
Attawapiskat	YAT	Attawapiskat	YAT
Aupaluk	YPJ	Aupaluk	YPJ
Bagotville	YBG	Bagotville	YBG
Baie-Comeau	YBC	Baie-Comeau	YBC
Baie-Johan-Beetz	YBJ	SPB	YBJ
Baker Lake	YBK	Baker Lake	YBK
Bamfield	YBF	SPB	YBF
Banff	YBA	Banff	YBA
Bar River	YEB	Bar River	YEB
Barrie/Orillia	YLK	Lake Simcoe Regional	YLK
Beaver Creek	YXQ	Beaver Creek	YXQ
Bedwell Harbour	YBW	SPB	YBW
Bella Bella	ZEL	Shearwater SPB	YSX
Berens River	YBV	Berens River	YBV
Big Trout Lake	YTL	Big Trout Lake	YTL
Black Tickle	YBI	Black Tickle	YBI
Blanc-Sablon	YBX	Lourdes-de-BlancSablon	YBX
Bloodvein	YDV	Bloodvein River	YDV
Bob Quinn Lake	YBO	Bob Quinn Lake	YBO
Bonaventure	YVB	Bonaventure	YVB
Bonnyville	YBY	Bonnyville	YBY
Brandon	YBR	Municipal	YBR
Brochet	YBT	Brochet	YBT
Buffalo Narrows	YVT	Buffalo Narrows	YVT
Bull Harbour	YBH	SPB	YBH
Burns Lake	YPZ	Burns Lake	YPZ
Bursa	YEI	Yenisehir	YEI
Burwash Landing	YDB	Burwash	YDB
Cache Creek/Ashcroft	YZA	Regional	YZA
Calgary	YYC	International	YYC
Cambridge Bay	YCB	Cambridge Bay	YCB
Campbell River	YBL	Metropolitan Area	YBL
Campbell River	YBL	Airport	YBL
Campbell River	YBL	SPB	YHH
Cape Dorset	YTE	Cape Dorset	YTE
Cape Dyer	YVN	Cape Dyer	YVN
Cartwright	YRF	Cartwright	YRF
Castlegar	YCG	West Kootenay Regional	YCG
Cat Lake	YAC	Cat Lake	YAC
